provision_id,provision_uri,legislation_id,legislation_title,section_type,schedule_number,schedule_title,part_number,part_title,chapter_number,chapter_title,class_block,sub_block,provision_number,provision_level,parent_provision_id,text,status,restrict_start_date,restrict_end_date,restrict_extent
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.2,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.2,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,J,P1,,"Development is not permitted by Class J(a) or (b) if— a the solar PV equipment or solar thermal equipment would be installed on a wall and would protrude more than 0.2 metres beyond the plane of the wall when measured from the perpendicular with the external surface of the wall; b the solar PV equipment or solar thermal equipment would be installed on a wall and within 1 metre of a junction of that wall with another wall or with the roof of the building; or c in the case of a building on article 2(3) land, the solar PV equipment or solar thermal equipment would be installed on a wall which fronts a highway.",valid,2015-04-15,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.3,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.3,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,J,P1,,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,valid,2023-12-21,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,J,P1,,"a the solar PV equipment or solar thermal equipment must, so far as practicable, be sited so as to minimise its effect on the external appearance of the building and the amenity of the area; and b the solar PV equipment or solar thermal equipment is removed as soon as reasonably practicable when no longer needed.",valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-1,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/1,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,1,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,Class J development is permitted subject to the following conditions—,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-2,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/2,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,2,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,"Class J(c) development is permitted subject to the condition that before beginning the development the developer must apply to the local planning authority for a determination as to whether the prior approval of the authority will be required as to the design or external appearance of the development, in particular the impact of glare on occupiers of neighbouring land, and the following sub-paragraphs apply in relation to that application.",valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-3,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/3,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,3,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,The application must be accompanied by— together with any fee required to be paid.,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-3-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/3/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,a,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-3,a written description of the proposed development;,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-3-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/3/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,b,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-3,a plan indicating the site and showing the proposed development;,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-3-c,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/3/c,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,c,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-3,the developer's contact address; and,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-3-d,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/3/d,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,d,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-3,the developer's email address if the developer is content to receive communications electronically;,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-4,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/4,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,4,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,"The local planning authority may refuse an application where, in the opinion of the authority— any conditions, limitations or restrictions specified in Class J applicable to the development in question.",valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-4-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/4/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,a,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-4,"the proposed development does not comply with, or",valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-4-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/4/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,b,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-4,"the developer has provided insufficient information to enable the authority to establish whether the proposed development complies with,",valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-5,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/5,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,5,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,Sub-paragraphs (6) and (8) do not apply where a local planning authority refuses an application under sub-paragraph (4) and for the purposes of section 78 (appeals) of the Act such a refusal is to be treated as a refusal of an application for approval.,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-6,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/6,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,6,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,The local planning authority must give notice of the proposed development—,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-6-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/6/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,a,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-6,by site display in at least one place on or near the land to which the application relates for not less than 21 days of a notice which—,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-6-a-i,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/6/a/i,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,i,P4,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-6-a,i describes the proposed development;,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-6-a-ii,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/6/a/ii,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,ii,P4,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-6-a,ii provides the address of the proposed development;,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-6-a-iii,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/6/a/iii,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,iii,P4,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-6-a,iii specifies the date by which representations are to be received by the local planning authority; or,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-6-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/6/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,b,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-6,by serving a notice in that form on any adjoining owner or occupier.,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-7,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/7,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,7,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,The local planning authority may require the developer to submit such information as the authority may reasonably require in order to determine the application.,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-8,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/8,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,8,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,"The local planning authority must, when determining an application—",valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-8-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/8/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,a,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-8,take into account any representations made to them as a result of any notice given under sub-paragraph (6); and,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-8-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/8/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,b,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-8,"have regard to the National Planning Policy Framework issued by the Ministry of Housing, Communities and Local Government in July 2021 , so far as relevant to the subject matter of the prior approval, as if the application were a planning application.",valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-9,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/9,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,9,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,The development must not begin before the occurrence of one of the following—,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-9-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/9/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,a,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-9,the receipt by the applicant from the local planning authority of a written notice of their determination that such prior approval is not required;,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-9-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/9/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,b,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-9,the receipt by the applicant from the local planning authority of a written notice giving their prior approval; or,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-9-c,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/9/c,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,c,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-9,the expiry of 56 days following the date on which the application under sub-paragraph (3) was received by the local planning authority without the authority notifying the applicant as to whether prior approval is given or refused.,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-10,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/10,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,10,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,The development must be carried out— unless the local planning authority and the developer agree otherwise in writing.,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-10-a,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/10/a,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,a,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-10,"where prior approval is required, in accordance with the details approved by the local planning authority;",valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-10-b,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/10/b,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,b,P3,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-10,"where prior approval is not required, or where sub-paragraph (9)(c) applies, in accordance with the details provided in the application referred to in sub-paragraph (3),",valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-11,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/11,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,11,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,The local planning authority may grant prior approval unconditionally or subject to conditions reasonably related to the subject matter of the prior approval.,valid,,,
schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4-12,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises/paragraph/J.4/12,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class J – installation or alteration etc of solar equipment on non-domestic premises,,12,P2,schedule-2-part-14-crossheading-class-j-installation-or-alteration-etc-of-solar-equipment-on-nondomestic-premises_paragraph-J.4,"When computing the number of days in paragraph (6)(a), any day which is a public holiday must be disregarded.",valid,,,
schedule-2-part-14-crossheading-class-k-installation-or-alteration-etc-of-standalone-solar-equipment-on-nondomestic-premises_paragraph-K,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-k-installation-or-alteration-etc-of-standalone-solar-equipment-on-nondomestic-premises/paragraph/K,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class K – installation or alteration etc of stand-alone solar equipment on non-domestic premises,,K,P1,,"The installation, alteration or replacement of stand-alone solar for microgeneration within the curtilage of a building other than a dwellinghouse or a block of flats.",valid,,,
schedule-2-part-14-crossheading-class-k-installation-or-alteration-etc-of-standalone-solar-equipment-on-nondomestic-premises_paragraph-K.1,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-k-installation-or-alteration-etc-of-standalone-solar-equipment-on-nondomestic-premises/paragraph/K.1,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class K – installation or alteration etc of stand-alone solar equipment on non-domestic premises,,K,P1,,"Development is not permitted by Class K if— a in the case of the installation of stand-alone solar, the development would result in the presence within the curtilage of more than 1 stand-alone solar; b any part of the stand-alone solar— i would exceed 4 metres in height or, in the case of stand-alone solar installed on article 2(3) land so that it is nearer to any highway which bounds the curtilage than the part of the building which is nearest to that highway, 2 metres in height ; ii . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . iii would be installed within 5 metres of the boundary of the curtilage; iv would be installed within the curtilage of a listed building; or v would be installed on a site designated as a scheduled monument; or c the surface area of the solar panels forming part of the stand-alone solar would exceed 9 square metres or any dimension of its array (including any housing) would exceed 3 metres.",valid,,,
schedule-2-part-14-crossheading-class-k-installation-or-alteration-etc-of-standalone-solar-equipment-on-nondomestic-premises_paragraph-K.2,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-k-installation-or-alteration-etc-of-standalone-solar-equipment-on-nondomestic-premises/paragraph/K.2,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class K – installation or alteration etc of stand-alone solar equipment on non-domestic premises,,K,P1,,"Development is permitted by Class K subject to the following conditions— a the stand-alone solar must, so far as practicable, be sited so as to minimise its effect on the amenity of the area; ... b the stand-alone solar is removed as soon as reasonably practicable when no longer needed.",valid,,,
schedule-2-paragraph-K.2-aa,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/K.2/aa,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class K – installation or alteration etc of stand-alone solar equipment on non-domestic premises,,aa,P2,schedule-2-part-14-crossheading-class-k-installation-or-alteration-etc-of-standalone-solar-equipment-on-nondomestic-premises_paragraph-K.2,"in the case of stand-alone solar installed on article 2(3) land nearer to any highway which bounds the curtilage than the part of the building which is nearest to that highway, before beginning development the developer must apply to the local planning authority for a determination as to whether the prior approval of the local planning authority will be required with respect to the impact of the appearance of the stand-alone solar on that land;",valid,,,
schedule-2-paragraph-K.2-ab,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/paragraph/K.2/ab,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class K – installation or alteration etc of stand-alone solar equipment on non-domestic premises,,ab,P2,schedule-2-part-14-crossheading-class-k-installation-or-alteration-etc-of-standalone-solar-equipment-on-nondomestic-premises_paragraph-K.2,"in relation to an application under sub-paragraph (aa), paragraphs J.4(3) to J.4(12) of this Part apply as if “Class K” substitutes the reference to “Class J” in paragraph J.4(4); and",valid,,,
schedule-2-part-14-crossheading-class-l-installation-or-alteration-etc-of-ground-source-heat-pump-on-nondomestic-premises_paragraph-L,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-l-installation-or-alteration-etc-of-ground-source-heat-pump-on-nondomestic-premises/paragraph/L,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class L – installation or alteration etc of ground source heat pump on non-domestic premises,,L,P1,,"The installation, alteration or replacement of a microgeneration ground source heat pump within the curtilage of a building other than a dwellinghouse or a block of flats.",valid,,,
schedule-2-part-14-crossheading-class-l-installation-or-alteration-etc-of-ground-source-heat-pump-on-nondomestic-premises_paragraph-L.1,http://www.legislation.gov.uk/id/uksi/2015/596/schedule/2/part/14/crossheading/class-l-installation-or-alteration-etc-of-ground-source-heat-pump-on-nondomestic-premises/paragraph/L.1,uksi/2015/596,GPDO 2015,schedules,SCHEDULE 2,Permitted development rights,PART 14,Renewable energy,,,Class L – installation or alteration etc of ground source heat pump on non-domestic premises,,L,P1,,"Development is permitted by Class L subject to the following conditions— a the total area of excavation must not exceed 0.5 hectares; b the development must not result in the presence within the curtilage of more than 1 ground source heat pump; and c a pump is removed as soon as reasonably practicable when no longer needed and the land is, as far as reasonably practicable, restored to its condition before the development took place, or to such condition as may have been agreed in writing between the local planning authority and the developer.",valid,,,
